"id","name","code","referentiecode","account_type","tag_ids","reconcile","sort_code"
"0207020","Cumulatieve afschrijvingen en waardeverminderingen onroerende zaken verkocht onder voorwaarden","0207020","BVasOzvCae","asset_fixed","l10n_nl_rgs.account_tag_0207000","0","C.D.B"
"0207030","Cumulatieve herwaarderingen onroerende zaken verkocht onder voorwaarden","0207030","BVasOzvCuh","asset_fixed","l10n_nl_rgs.account_tag_0207000","0","C.D.C"
"0209010","Verkrijgings- of vervaardigingsprijs huurdersinvesteringen","0209010","BMvaHuuVvp","asset_fixed","l10n_nl_rgs.account_tag_0209000","0","B.L.A"
"0209015","Actuele kostprijs huurdersinvesteringen","0209015","BMvaHuuAkp","asset_fixed","l10n_nl_rgs.account_tag_0209000","0","B.L.A1"
"0209020","Cumulatieve afschrijvingen en waardeverminderingen huurdersinvesteringen","0209020","BMvaHuuCae","asset_fixed","l10n_nl_rgs.account_tag_0209000","0","B.L.B"
"0209030","Cumulatieve herwaarderingen huurdersinvesteringen","0209030","BMvaHuuCuh","asset_fixed","l10n_nl_rgs.account_tag_0209000","0","B.L.C"
"0210010","Verkrijgings- of vervaardigingsprijs machines en installaties","0210010","BMvaMeiVvp","asset_fixed","l10n_nl_rgs.account_tag_0210000","0","B.D.A"
"0210015","Actuele kostprijs machines en installaties","0210015","BMvaMeiAkp","asset_fixed","l10n_nl_rgs.account_tag_0210000","0","B.D.A1"
"0210020","Cumulatieve afschrijvingen en waardeverminderingen machines en installaties","0210020","BMvaMeiCae","asset_fixed","l10n_nl_rgs.account_tag_0210000","0","B.D.B"
"0210030","Cumulatieve herwaarderingen machines en installaties","0210030","BMvaMeiCuh","asset_fixed","l10n_nl_rgs.account_tag_0210000","0","B.D.C"
"0211010","Verkrijgings- of vervaardigingsprijs vliegtuigen","0211010","BMvaVliVvp","asset_fixed","l10n_nl_rgs.account_tag_0211000","0","B.M.A"
"0211015","Actuele kostprijs vliegtuigen","0211015","BMvaVliAkp","asset_fixed","l10n_nl_rgs.account_tag_0211000","0","B.M.A1"
"0211020","Cumulatieve afschrijvingen en waardeverminderingen vliegtuigen","0211020","BMvaVliCae","asset_fixed","l10n_nl_rgs.account_tag_0211000","0","B.M.B"
"0211030","Cumulatieve herwaarderingen vliegtuigen","0211030","BMvaVliCuh","asset_fixed","l10n_nl_rgs.account_tag_0211000","0","B.M.C"
"0212010","Verkrijgings- of vervaardigingsprijs schepen","0212010","BMvaSchVvp","asset_fixed","l10n_nl_rgs.account_tag_0212000","0","B.N.A"
"0212015","Actuele kostprijs schepen","0212015","BMvaSchAkp","asset_fixed","l10n_nl_rgs.account_tag_0212000","0","B.N.A1"
"0212020","Cumulatieve afschrijvingen en waardeverminderingen schepen","0212020","BMvaSchCae","asset_fixed","l10n_nl_rgs.account_tag_0212000","0","B.N.B"
"0212030","Cumulatieve herwaarderingen schepen","0212030","BMvaSchCuh","asset_fixed","l10n_nl_rgs.account_tag_0212000","0","B.N.C"
"0213010","Verkrijgings- of vervaardigingsprijs automobielen en overige transportmiddelen","0213010","BMvaTevVvp","asset_fixed","l10n_nl_rgs.account_tag_0213000","0","B.I.A"
"0213015","Actuele kostprijs automobielen en overige transportmiddelen","0213015","BMvaTevAkp","asset_fixed","l10n_nl_rgs.account_tag_0213000","0","B.I.A1"
"0213020","Cumulatieve afschrijvingen en waardeverminderingen automobielen en overige transportmiddelen","0213020","BMvaTevCae","asset_fixed","l10n_nl_rgs.account_tag_0213000","0","B.I.B"
"0213030","Cumulatieve herwaarderingen automobielen en overige transportmiddelen","0213030","BMvaTevCuh","asset_fixed","l10n_nl_rgs.account_tag_0213000","0","B.I.C"
"0214010","Verkrijgings- of vervaardigingsprijs andere vaste bedrijfsmiddelen","0214010","BMvaObeVvp","asset_fixed","l10n_nl_rgs.account_tag_0214000","0","B.E.A"
"0214015","Actuele kostprijs andere vaste bedrijfsmiddelen","0214015","BMvaObeAkp","asset_fixed","l10n_nl_rgs.account_tag_0214000","0","B.E.A1"
"0214020","Cumulatieve afschrijvingen en waardeverminderingen andere vaste bedrijfsmiddelen","0214020","BMvaObeCae","asset_fixed","l10n_nl_rgs.account_tag_0214000","0","B.E.B"
"0214030","Cumulatieve herwaarderingen andere vaste bedrijfsmiddelen","0214030","BMvaObeCuh","asset_fixed","l10n_nl_rgs.account_tag_0214000","0","B.E.C"
"0215010","Verkrijgings- of vervaardigingsprijs inventaris","0215010","BMvaBeiVvp","asset_fixed","l10n_nl_rgs.account_tag_0215000","0","B.H.A"
"0215015","Actuele kostprijs inventaris","0215015","BMvaBeiAkp","asset_fixed","l10n_nl_rgs.account_tag_0215000","0","B.H.A1"
"0215020","Cumulatieve afschrijvingen en waardeverminderingen inventaris","0215020","BMvaBeiCae","asset_fixed","l10n_nl_rgs.account_tag_0215000","0","B.H.B"
