id,name,code,referentiecode,sort_code,rgs_allowed_journals_code,rgs_allowed_journals_type,parent_id,code_prefix_start,code_prefix_end
account_group_1003000,Kruisposten,1003000,BLimKru,I.C,MISC,"bank,cash",account_group_10,1003,1003
account_group_1103159,Vorderingen uit hoofde van belastingen,1103159,BVorVbk,G.G,"MISC,WAG,TAX","sale,purchase,bank",account_group_11,11020,11020
account_group_1103000,Overige vorderingen,1103000,BVorOvr,G.K,MISC,"sale,purchase,bank",account_group_11,11030,11032
account_group_1103039,Te vorderen subsidies,1103039,BVorTsk,G.I,MISC,"purchase,bank",account_group_11,110304,110309
account_group_1103099,Vorderingen op groepsmaatschappijen (kortlopend),1103099,BVorVog,G.B,MISC,"sale,purchase,bank",account_group_11,110310,110310
account_group_1103109,Vorderingen op overige verbonden maatschappijen (kortlopend),1103109,BVorVov,G.C,MISC,"sale,purchase,bank",account_group_11,110311,110311
account_group_1103119,Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (kortlopend),1103119,BVorVop,G.D,MISC,"sale,purchase,bank",account_group_11,110312,110312
account_group_1103129,Van aandeelhouders opgevraagde stortingen,1103129,BVorVao,G.F,MISC,"sale,purchase,bank",account_group_11,110313,110313
account_group_1103149,Vorderingen uit hoofde van pensioenen,1103149,BVorVpk,G.J,MISC,"purchase,bank",account_group_11,110315,110316
account_group_1103169,Latente belastingvorderingen (kortlopend),1103169,BVorLbv,G.H,MISC,,account_group_11,110317,110317
account_group_1103300,Vorderingen op leden van de coöperatie,1103300,BVorVlc,G.E,MISC,"sale,purchase,bank",account_group_11,11033,11033
account_group_1104000,Overlopende activa,1104000,BVorOva,G.L,"MISC,ACCR","sale,purchase,bank",account_group_11,1104,1104
account_group_1104105,Overheid,1104105,BVorOvh,G.N,MISC,"sale,purchase,bank",account_group_11,1104205,1104205
account_group_1105000,Tussenrekeningen,1105000,BVorTus,G.M,MISC,"sale,purchase,bank",account_group_11,1105,1107
account_group_1201000,Kortlopende leningen-schulden-verplichtingen,1201000,BSchKol,M.A,MISC,bank,account_group_12,1201,1201
account_group_1201059,Aflossingsverplichtingen van langlopende leningen,1201059,BSchAos,M.M,MISC,"purchase,bank",account_group_12,120106,120106
account_group_1203000,Schulden aan leveranciers en handelskredieten,1203000,BSchCre,M.D,"MISC,EXCH","purchase,bank",account_group_12,12030,12030
account_group_1204000,Salarisverwerking,1204000,BSchSal,M.O,"MISC,WAG",bank,account_group_12,12040,12041
account_group_1204089,Schulden ter zake van pensioenen,1204089,BSchStz,M.L,MISC,"purchase,bank",account_group_12,120409,120409
account_group_1205009,Belastingen en premies sociale verzekeringen,1205009,BSchBep,M.K,"MISC,WAG,TAX","sale,purchase,bank",account_group_12,120501,120800
account_group_1208100,Schulden aan groepsmaatschappijen,1208100,BSchSag,M.F,MISC,"sale,purchase,bank",account_group_12,12081,12081
account_group_1208200,Schulden aan overige verbonden maatschappijen,1208200,BSchSao,M.G,MISC,"sale,purchase,bank",account_group_12,12082,12082
account_group_1208300,Schulden aan participanten en aan maatschappijen waarin wordt deelgenomen,1208300,BSchSap,M.H,MISC,"sale,purchase,bank",account_group_12,12083,12083
account_group_1208400,Schulden uit hoofde van belasting naar de winst,1208400,BSchShb,M.I,MISC,"sale,purchase,bank",account_group_12,12084,12084
account_group_1208500,Kortlopende financiële lease verplichtingen,1208500,BSchFlk,M.J,MISC,"purchase,bank",account_group_12,12085,12085
account_group_1209000,Overige schulden,1209000,BSchOvs,M.P,MISC,"sale,purchase,bank",account_group_12,12090,12091
account_group_1209029,Schulden aan banken,1209029,BSchSak,M.B,MISC,bank,account_group_12,120903,120903
account_group_1209040,Ontvangen vooruitbetalingen op bestellingen,1209040,BSchVob,M.C,MISC,bank,account_group_12,120904,120904
account_group_1209079,Te betalen wissels en cheques,1209079,BSchTbw,M.E,MISC,"sale,purchase,bank",account_group_12,120908,120908
